Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Ant-Man and the Wasp: Quantumania,2023,,,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Evangeline Lilly,Jonathan Majors,Kathryn Newton",,,
Ambulance,2022,R,136 min,"Action, Crime, Drama",Michael Bay,"Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Garret Dillahunt",6.1,55,69025
Prey for the Devil,2022,PG-13,93 min,"Horror, Thriller",Daniel Stamm,"Virginia Madsen,Jacqueline Byers,Colin Salmon,Ben Cross",5.2,38,4108
The Unbearable Weight of Massive Talent,2022,R,107 min,"Action, Comedy, Crime",Tom Gormican,"Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan",7,68,82888
Killers of the Flower Moon,2023,,,"Crime, Drama, History",Martin Scorsese,"Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons",,,
Jurassic World: Dominion,2022,PG-13,147 min,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Laura Dern,Sam Neill",5.7,38,149595
Halloween Ends,2022,R,111 min,"Horror, Thriller",David Gordon Green,"Jamie Lee Curtis,Andi Matichak,James Jude Courtney,Rohan Campbell",5,47,49902
Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe",8.8,74,2336780
Decision to Leave,2022,,139 min,"Crime, Drama, Mystery",Park Chan-wook,"Park Hae-il,Tang Wei,Lee Jung-hyun,Go Kyung-Pyo",7.3,84,15954
Rorschach,2022,,150 min,"Action, Mystery, Thriller",Nissam Basheer,"Mammootty,Asif Ali,Jagadish,Bindu Panikkar",7.3,,3620
No Time to Die,2021,PG-13,163 min,"Action, Adventure, Thriller",Cary Joji Fukunaga,"Daniel Craig,Ana de Armas,Rami Malek,Léa Seydoux",7.3,68,396457
Prey,I 2022,R,99 min,"Action, Adventure, Drama",Dan Trachtenberg,"Amber Midthunder,Dakota Beavers,Dane DiLiegro,Stormee Kipp",7.2,71,184230
Joker,I 2019,R,122 min,"Crime, Drama, Thriller",Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy",8.4,59,1268214
