Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Amadeus,1984,R,160 min,"Biography, Drama, Music",Milos Forman,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice",8.4,88,401121
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",Thomas Kail,"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry",8.4,90,94305
Belfast,2021,PG-13,98 min,"Biography, Drama",Kenneth Branagh,"Jude Hill,Lewis McAskie,Caitríona Balfe,Jamie Dornan",7.3,75,73631
The Intouchables,2011,R,112 min,"Biography, Comedy, Drama",Olivier Nakache,"Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot",8.5,57,854352
Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",Bennett Miller,"Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman",7.6,87,423962
Bohemian Rhapsody,2018,PG-13,134 min,"Biography, Drama, Music",Bryan Singer,"Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy",7.9,49,537332
Jerry and Marge Go Large,2022,PG-13,96 min,"Biography, Comedy, Drama",David Frankel,"Bryan Cranston,Annette Bening,Rainn Wilson,Larry Wilmore",6.9,52,11778
12 Years a Slave,2013,R,134 min,"Biography, Drama, History",Steve McQueen,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt",8.1,96,700016
A Beautiful Mind,2001,PG-13,135 min,"Biography, Drama",Ron Howard,"Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer",8.2,72,930534
The Sound of Music,1965,G,172 min,"Biography, Drama, Family",Robert Wise,"Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn",8.1,63,234842
Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",Sean Penn,"Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden",8.1,73,623056
Molly's Game,2017,R,140 min,"Biography, Crime, Drama",Aaron Sorkin,"Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera",7.4,71,173000
Hidden Figures,2016,PG,127 min,"Biography, Drama, History",Theodore Melfi,"Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner",7.8,74,230542
